STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,demo_code,demographic,indicator_code,indicator,unit,Unit of measure,country,Geopolitical entity (reporting),year,Time,value,Observation value,obs_flag,Observation status (Flag) V2 structure,conf_status,Confidentiality status (flag),missing_flag,demo_type,indicator_name,education_level,gender,age_group
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,F_Y16_74,"Females, 16 to 74 years old",I_BF_3-5,Frequency of online purchases in the last 3 months: 3 to 5 times,PC_IND,Percentage of individuals,DE,Germany,2020,,26.81,,,,,,False,Gender,Moderate Purchase Frequency (3–5 purchases),,Female,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,F_Y16_74,"Females, 16 to 74 years old",I_BF_3-5,Frequency of online purchases in the last 3 months: 3 to 5 times,PC_IND,Percentage of individuals,DE,Germany,2021,,20.67,,b,break in time series,,,False,Gender,Moderate Purchase Frequency (3–5 purchases),,Female,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,F_Y16_74,"Females, 16 to 74 years old",I_BF_3-5,Frequency of online purchases in the last 3 months: 3 to 5 times,PC_IND,Percentage of individuals,DE,Germany,2023,,22.92,,,,,,False,Gender,Moderate Purchase Frequency (3–5 purchases),,Female,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,F_Y16_74,"Females, 16 to 74 years old",I_BF_3-5,Frequency of online purchases in the last 3 months: 3 to 5 times,PC_IND,Percentage of individuals,DE,Germany,2025,,21.8,,,,,,False,Gender,Moderate Purchase Frequency (3–5 purchases),,Female,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,F_Y16_74,"Females, 16 to 74 years old",I_BF_6-10,Frequency of online purchases in the last 3 months: 6 to 10 times,PC_IND,Percentage of individuals,DE,Germany,2020,,15.44,,,,,,False,Gender,High Purchase Frequency (6–10 purchases),,Female,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,F_Y16_74,"Females, 16 to 74 years old",I_BF_6-10,Frequency of online purchases in the last 3 months: 6 to 10 times,PC_IND,Percentage of individuals,DE,Germany,2021,,10.74,,b,break in time series,,,False,Gender,High Purchase Frequency (6–10 purchases),,Female,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,F_Y16_74,"Females, 16 to 74 years old",I_BF_6-10,Frequency of online purchases in the last 3 months: 6 to 10 times,PC_IND,Percentage of individuals,DE,Germany,2023,,11.21,,,,,,False,Gender,High Purchase Frequency (6–10 purchases),,Female,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,F_Y16_74,"Females, 16 to 74 years old",I_BF_6-10,Frequency of online purchases in the last 3 months: 6 to 10 times,PC_IND,Percentage of individuals,DE,Germany,2025,,11.53,,,,,,False,Gender,High Purchase Frequency (6–10 purchases),,Female,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,F_Y16_74,"Females, 16 to 74 years old",I_BF_GT10,Frequency of online purchases in the last 3 months: more than 10 times,PC_IND,Percentage of individuals,DE,Germany,2020,,13.91,,,,,,False,Gender,Very High Purchase Frequency (10+ purchases),,Female,
dataflow,ESTAT:ISOC_EC_IB20(1.0),Internet purchases by individuals (2020 onwards),A,Annual,F_Y16_74,"Females, 16 to 74 years old",I_BF_GT10,Frequency of online purchases in the last 3 months: more than 10 times,PC_IND,Percentage of individuals,DE,Germany,2021,,12.27,,b,break in time series,,,False,Gender,Very High Purchase Frequency (10+ purchases),,Female,
