STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indicator_code,indicator,unit,Unit of measure,demo_code,demographic,country,Geopolitical entity (reporting),year,Time,value,Observation value,obs_flag,Observation status (Flag) V2 structure,conf_status,Confidentiality status (flag),missing_flag,demo_type,indicator_name,education_level,gender,age_group
dataflow,ESTAT:ISOC_CI_AC_I(1.0),Individuals - internet activities,A,Annual,I_IUEM,Internet use: sending/receiving e-mails,PC_IND,Percentage of individuals,F_Y16_74,"Females, 16 to 74 years old",DE,Germany,2020,,86.32,,,,,,False,Gender,Email Usage,,Female,
dataflow,ESTAT:ISOC_CI_AC_I(1.0),Individuals - internet activities,A,Annual,I_IUEM,Internet use: sending/receiving e-mails,PC_IND,Percentage of individuals,F_Y16_74,"Females, 16 to 74 years old",DE,Germany,2021,,77.86,,b,break in time series,,,False,Gender,Email Usage,,Female,
dataflow,ESTAT:ISOC_CI_AC_I(1.0),Individuals - internet activities,A,Annual,I_IUEM,Internet use: sending/receiving e-mails,PC_IND,Percentage of individuals,F_Y16_74,"Females, 16 to 74 years old",DE,Germany,2022,,78.91,,,,,,False,Gender,Email Usage,,Female,
dataflow,ESTAT:ISOC_CI_AC_I(1.0),Individuals - internet activities,A,Annual,I_IUEM,Internet use: sending/receiving e-mails,PC_IND,Percentage of individuals,F_Y16_74,"Females, 16 to 74 years old",DE,Germany,2023,,81.94,,,,,,False,Gender,Email Usage,,Female,
dataflow,ESTAT:ISOC_CI_AC_I(1.0),Individuals - internet activities,A,Annual,I_IUEM,Internet use: sending/receiving e-mails,PC_IND,Percentage of individuals,F_Y16_74,"Females, 16 to 74 years old",DE,Germany,2024,,84.85,,,,,,False,Gender,Email Usage,,Female,
dataflow,ESTAT:ISOC_CI_AC_I(1.0),Individuals - internet activities,A,Annual,I_IUEM,Internet use: sending/receiving e-mails,PC_IND,Percentage of individuals,F_Y16_74,"Females, 16 to 74 years old",DE,Germany,2025,,86.46,,,,,,False,Gender,Email Usage,,Female,
dataflow,ESTAT:ISOC_CI_AC_I(1.0),Individuals - internet activities,A,Annual,I_IUEM,Internet use: sending/receiving e-mails,PC_IND,Percentage of individuals,M_Y16_74,"Males, 16 to 74 years old",DE,Germany,2020,,87.78,,,,,,False,Gender,Email Usage,,Male,
dataflow,ESTAT:ISOC_CI_AC_I(1.0),Individuals - internet activities,A,Annual,I_IUEM,Internet use: sending/receiving e-mails,PC_IND,Percentage of individuals,M_Y16_74,"Males, 16 to 74 years old",DE,Germany,2021,,81.26,,b,break in time series,,,False,Gender,Email Usage,,Male,
dataflow,ESTAT:ISOC_CI_AC_I(1.0),Individuals - internet activities,A,Annual,I_IUEM,Internet use: sending/receiving e-mails,PC_IND,Percentage of individuals,M_Y16_74,"Males, 16 to 74 years old",DE,Germany,2022,,81.27,,,,,,False,Gender,Email Usage,,Male,
dataflow,ESTAT:ISOC_CI_AC_I(1.0),Individuals - internet activities,A,Annual,I_IUEM,Internet use: sending/receiving e-mails,PC_IND,Percentage of individuals,M_Y16_74,"Males, 16 to 74 years old",DE,Germany,2023,,84.58,,,,,,False,Gender,Email Usage,,Male,
dataflow,ESTAT:ISOC_CI_AC_I(1.0),Individuals - internet activities,A,Annual,I_IUEM,Internet use: sending/receiving e-mails,PC_IND,Percentage of individuals,M_Y16_74,"Males, 16 to 74 years old",DE,Germany,2024,,86.31,,,,,,False,Gender,Email Usage,,Male,
dataflow,ESTAT:ISOC_CI_AC_I(1.0),Individuals - internet activities,A,Annual,I_IUEM,Internet use: sending/receiving e-mails,PC_IND,Percentage of individuals,M_Y16_74,"Males, 16 to 74 years old",DE,Germany,2025,,89.07,,,,,,False,Gender,Email Usage,,Male,
dataflow,ESTAT:ISOC_CI_AC_I(1.0),Individuals - internet activities,A,Annual,I_IUEM,Internet use: sending/receiving e-mails,PC_IND,Percentage of individuals,Y16_24,"Individuals, 16 to 24 years old",DE,Germany,2020,,93.72,,,,,,False,Age,Email Usage,,,16–24
